"date","value"
"2016-05-18",2382.4776
"2016-05-18",2457.6532
"2016-05-18",2514.0264
"2016-05-18",2515.9253
"2016-05-18",2487.8233
"2016-05-18",2368.0941
"2016-05-18",2311.4793
"2016-05-18",2264.8388
"2016-05-18",2235.7019
"2016-05-18",2180.3305
"2016-05-18",2189.2807
"2016-05-18",2160.1568
"2016-05-18",2116.7417
"2016-05-18",2060.3808
"2016-05-18",1950.1008
"2016-05-18",1859.4902
"2016-05-18",1794.2936
"2016-05-18",1712.217
"2016-05-18",1656.7131
"2016-05-18",1592.1425
"2016-05-18",1482.1619
"2016-05-18",1440.3581
"2016-05-18",1419.0138
"2016-05-18",1368.2528
"2016-05-18",1339.1912
"2016-05-18",1735.5232
"2016-05-18",2256.2419
"2016-05-18",2160.2169
"2016-05-18",2142.6055
"2016-05-18",2092.0852
"2016-05-18",2032.0816
"2016-05-18",2008.2454
"2016-05-19",1973.1775
"2016-05-19",1941.513
"2016-05-19",1915.4389
"2016-05-19",1891.0203
"2016-05-19",1879.2327
"2016-05-19",1881.0116
"2016-05-19",1871.2073
"2016-05-19",1883.6386
"2016-05-19",1923.7477
"2016-05-19",1576.1807
"2016-05-19",1081.2032
"2016-05-19",1234.3814
"2016-05-19",1467.2084
"2016-05-19",1668.2748
"2016-05-19",1873.092
"2016-05-19",2037.6682
"2016-05-19",2189.8844
"2016-05-19",2263.4354
"2016-05-19",2313.7245
"2016-05-19",2329.0437
"2016-05-19",2338.9892
"2016-05-19",2252.9021
"2016-05-19",2178.9621
"2016-05-19",2141.3731
"2016-05-19",2122.7665
"2016-05-19",2155.5688
"2016-05-19",2138.3556
"2016-05-19",2086.9107
"2016-05-19",1991.6845
"2016-05-19",1971.0365
"2016-05-19",1904.2164
"2016-05-19",1825.9802
"2016-05-19",1735.4254
"2016-05-19",1706.4632
"2016-05-19",1647.1566
"2016-05-19",1548.0164
"2016-05-19",1476.6437
"2016-05-19",1458.0646
"2016-05-19",1363.9542
"2016-05-19",1332.8768
"2016-05-19",1330.6266
"2016-05-19",1746.8569
"2016-05-19",2259.5497
"2016-05-19",2186.2051
"2016-05-19",2149.7698
"2016-05-19",2073.1716
"2016-05-19",2015.71
"2016-05-19",1975.9272
"2016-05-20",1958.8301
"2016-05-20",1931.7256
"2016-05-20",1907.164
"2016-05-20",1889.4428
"2016-05-20",1882.112
"2016-05-20",1887.0483
"2016-05-20",1880.3622
"2016-05-20",1883.2494
"2016-05-20",1920.6263
"2016-05-20",1539.2089
"2016-05-20",1078.4477
"2016-05-20",1177.6472
"2016-05-20",1439.3561
"2016-05-20",1593.5293
"2016-05-20",1802.9194
"2016-05-20",1986.9525
"2016-05-20",2142.0442
"2016-05-20",2255.696
"2016-05-20",2291.411
"2016-05-20",2291.113
"2016-05-20",2252.1712
"2016-05-20",2215.3366
"2016-05-20",2223.846
"2016-05-20",2211.5026
"2016-05-20",2154.8404
"2016-05-20",2144.9196
"2016-05-20",2130.8542
"2016-05-20",2080.9278
"2016-05-20",2021.3507
"2016-05-20",1965.0674
"2016-05-20",1916.1982
"2016-05-20",1835.9172
"2016-05-20",1749.8289
"2016-05-20",1693.6875
